fold,n_test,n_features,epochs_trained,learning_rate,weight_decay,num_nodes,dropout,batch_norm,batch_size,patience,meth_variance_threshold,train_c_index,val_c_index,test_c_index
1,112,326,11,0.001,0.03,[8],0.5,False,32,10,0.0005,0.6454372623574145,0.4310722100656455,0.31092436974789917
2,111,318,13,0.001,0.03,[8],0.5,False,32,10,0.0005,0.7530949105914718,0.6372093023255814,0.6718061674008811
3,111,322,11,0.001,0.03,[8],0.5,False,32,10,0.0005,0.5098973607038123,0.3333333333333333,0.6756756756756757
4,111,330,14,0.001,0.03,[8],0.5,False,32,10,0.0005,0.7666256157635468,0.6918367346938775,0.7088235294117647
5,111,315,11,0.001,0.03,[8],0.5,False,32,10,0.0005,0.5602874167542937,0.7236533957845434,0.8308977035490606
