fold,alpha,n_features_total,n_features_selected,test_c_index,n_test
1,0.0005951171698812505,50,47,0.6033613445378151,112
2,0.016459258235038427,50,9,0.5066079295154186,111
3,0.022328642147504917,50,4,0.4797297297297297,111
4,0.0006086829148064106,50,44,0.6852941176470588,111
5,0.009419719928679491,50,15,0.4592901878914405,111
