Risk group,0 years,2 years,4 years,6 years,8 years,10 years,12 years,14 years,16 years,18 years,20 years
Low risk,278,160,87,49,26,7,3,1,0,0,0
High risk,278,155,81,48,27,13,7,6,4,3,1
