fold,n_test,epochs_trained,learning_rate,weight_decay,num_nodes,dropout,batch_norm,batch_size,patience,train_c_index,val_c_index,test_c_index
1,112,11,0.001,0.001,[16],0.6,False,32,10,0.6313688212927757,0.6805251641137856,0.5630252100840336
2,111,12,0.001,0.001,[16],0.6,False,32,10,0.6478679504814305,0.6511627906976745,0.6013215859030837
3,111,12,0.001,0.001,[16],0.6,False,32,10,0.6816348973607038,0.5314685314685315,0.6351351351351351
4,111,12,0.001,0.001,[16],0.6,False,32,10,0.6726190476190477,0.5163265306122449,0.7102941176470589
5,111,12,0.001,0.001,[16],0.6,False,32,10,0.6600070101647388,0.6838407494145199,0.592901878914405
